cap-diameter,cap-shape,cap-surface,cap-color,gill-attachment,gill-spacing,gill-color,stem-height,stem-width,stem-color,ring-type,habitat,does-bruise-or-bleed,has-ring,is-poisonous,season_a,season_s,season_u,season_w
6.76,b,t,w,e,1,w,12.59,12.37,w,l,d,False,True,True,False,False,True,False
6.83,b,t,w,e,1,w,13.84,13.54,w,l,d,False,True,True,False,False,True,False
9.1,b,t,w,e,1,w,13.79,13.68,w,e,d,False,True,True,True,False,False,False
8.27,b,t,w,e,1,w,12.63,12.46,w,l,d,False,True,True,True,False,False,False
7.95,b,t,w,e,1,w,13.1,13.78,w,e,d,False,True,True,True,False,False,False
5.24,b,t,w,e,1,w,11.81,12.52,w,l,d,False,True,True,False,False,True,False
7.22,b,t,w,e,1,w,12.33,12.35,w,e,d,False,True,True,True,False,False,False
7.75,b,t,w,e,1,w,11.8,12.05,w,l,d,False,True,True,False,False,True,False
7.5,b,t,w,e,1,w,13.78,13.17,w,l,d,False,True,True,True,False,False,False
7.12,b,t,w,e,1,w,12.52,11.41,w,e,d,False,True,True,True,False,False,False
7.1,b,t,w,e,1,w,12.25,12.86,w,e,d,False,True,True,True,False,False,False
6.54,b,t,w,e,1,w,12.06,12.58,w,l,d,False,True,True,False,False,True,False
6.54,b,t,w,e,1,w,11.79,11.53,w,e,d,False,True,True,False,False,True,False
8.37,b,t,w,e,1,w,13.1,13.58,w,e,d,False,True,True,False,False,True,False
7.89,b,t,w,e,1,w,13.05,12.33,w,l,d,False,True,True,True,False,False,False
7.81,b,t,w,e,1,w,13.62,13.62,w,l,d,False,True,True,False,False,True,False
7.69,b,t,w,e,1,w,12.49,11.81,w,e,d,False,True,True,True,False,False,False
6.77,b,t,w,e,1,w,12.96,12.91,w,l,d,False,True,True,True,False,False,False
7.77,b,t,w,e,1,w,13.08,11.95,w,e,d,False,True,True,True,False,False,False
9.26,b,t,w,e,1,w,12.27,12.72,w,l,d,False,True,True,False,False,True,False
8.6,b,t,w,e,1,w,13.78,13.15,w,l,d,False,True,True,False,False,True,False
8.31,b,t,w,e,1,w,10.78,11.34,w,l,d,False,True,True,True,False,False,False
8.63,b,t,w,e,1,w,12.75,12.95,w,l,d,False,True,True,False,False,True,False
7.69,b,t,w,e,1,w,12.43,12.96,w,e,d,False,True,True,False,False,True,False
7.73,b,t,w,e,1,w,12.2,12.77,w,e,d,False,True,True,True,False,False,False
7.03,b,t,w,e,1,w,12.95,13.19,w,l,d,False,True,True,False,False,True,False
6.99,b,t,w,e,1,w,12.35,12.68,w,l,d,False,True,True,True,False,False,False
7.57,b,t,w,e,1,w,11.74,11.76,w,l,d,False,True,True,False,False,True,False
7.05,b,t,w,e,1,w,12.52,12.08,w,l,d,False,True,True,True,False,False,False
7.33,b,t,w,e,1,w,13.52,13.33,w,e,d,False,True,True,True,False,False,False
8.18,b,t,w,e,1,w,12.87,12.38,w,e,d,False,True,True,True,False,False,False
7.35,b,t,w,e,1,w,12.79,10.75,w,l,d,False,True,True,True,False,False,False
8.16,b,t,w,e,1,w,13.01,12.85,w,l,d,False,True,True,True,False,False,False
6.93,b,t,w,e,1,w,13.26,11.63,w,l,d,False,True,True,False,False,True,False
7.46,b,t,w,e,1,w,13.66,13.98,w,l,d,False,True,True,False,False,True,False
6.84,b,t,w,e,1,w,11.02,11.16,w,l,d,False,True,True,False,False,True,False
7.79,b,t,w,e,1,w,12.59,11.86,w,l,d,False,True,True,False,False,True,False
8.28,b,t,w,e,1,w,12.21,13.21,w,l,d,False,True,True,True,False,False,False
7.35,b,t,w,e,1,w,11.6,11.74,w,e,d,False,True,True,True,False,False,False
5.9,b,t,w,e,1,w,11.83,13.07,w,l,d,False,True,True,False,False,True,False
8.39,b,t,w,e,1,w,12.96,13.13,w,l,d,False,True,True,False,False,True,False
8.81,b,t,w,e,1,w,13.58,13.64,w,l,d,False,True,True,False,False,True,False
6.51,b,t,w,e,1,w,12.09,11.68,w,l,d,False,True,True,True,False,False,False
7.18,b,t,w,e,1,w,11.53,11.42,w,e,d,False,True,True,True,False,False,False
7.19,b,t,w,e,1,w,12.1,12.5,w,l,d,False,True,True,False,False,True,False
7.07,b,t,w,e,1,w,12.34,11.43,w,e,d,False,True,True,False,False,True,False
8.17,b,t,w,e,1,w,11.55,12.07,w,l,d,False,True,True,False,False,True,False
6.62,b,t,w,e,1,w,12.41,13.29,w,e,d,False,True,True,False,False,True,False
7.41,b,t,w,e,1,w,12.03,11.24,w,l,d,False,True,True,True,False,False,False
6.6,b,t,w,e,1,w,11.93,12.41,w,l,d,False,True,True,True,False,False,False
8.04,b,t,w,e,1,w,13.48,12.26,w,l,d,False,True,True,True,False,False,False
7.1,b,t,w,e,1,w,12.52,11.99,w,l,d,False,True,True,False,False,True,False
7.63,b,t,w,e,1,w,12.31,12.24,w,e,d,False,True,True,True,False,False,False
8.72,b,t,w,e,1,w,13.68,12.96,w,e,d,False,True,True,False,False,True,False
8.32,b,t,w,e,1,w,13.64,13.43,w,l,d,False,True,True,False,False,True,False
9.03,b,t,w,e,1,w,12.67,13.01,w,e,d,False,True,True,True,False,False,False
